github.com/AlDanial/cloc v 2.08  T=13.35 s (354.8 files/s, 95394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                  blank        comment           code
./.venv/lib/python3.11/site-packages/pydantic/main.py                                                                                                   263            473           1102
./backend/.venv/lib/python3.11/site-packages/sqlglot/dialects/tsql.py                                                                                   242             64           1099
./backend/.venv/lib/python3.11/site-packages/pydantic/main.py                                                                                           261            463           1095
./backend/.venv/lib/python3.11/site-packages/pydantic/fields.py                                                                                         250            494           1090
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/coercions.py                                                                                258             59           1087
./backend/.venv/lib/python3.11/site-packages/passlib/context.py                                                                                         382           1187           1068
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/dependency.py                                                                               141             98           1063
./backend/.venv/lib/python3.11/site-packages/anyio/_backends/_trio.py                                                                                   254             29           1060
./backend/.venv/lib/python3.11/site-packages/_pytest/_code/code.py                                                                                      245            273           1053
./backend/.venv/lib/python3.11/site-packages/_pytest/pytester.py                                                                                        310            429           1052
./backend/.venv/lib/python3.11/site-packages/redis/client.py                                                                                            190            381           1041
./backend/.venv/lib/python3.11/site-packages/sqlglot/dialects/bigquery.py                                                                               214             84           1039
./backend/.venv/lib/python3.11/site-packages/redis/asyncio/client.py                                                                                    195            376           1024
./backend/.venv/lib/python3.11/site-packages/alembic/testing/suite/test_autogen_fks.py                                                                  156             15           1020
./backend/.venv/lib/python3.11/site-packages/asyncpg/connect_utils.py                                                                                   228             65           1020
./backend/.venv/lib/python3.11/site-packages/_pytest/_py/path.py                                                                                        204            252           1019
./backend/.venv/lib/python3.11/site-packages/pymysql/connections.py                                                                                     180            236           1019
./backend/.venv/lib/python3.11/site-packages/openai/resources/beta/threads/threads.py                                                                   259            661           1015
./backend/.venv/lib/python3.11/site-packages/mako/codegen.py                                                                                            176            135           1008
./backend/.venv/lib/python3.11/site-packages/anthropic/resources/messages/messages.py                                                                   582           1455            995
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/configs.py                                                                                 189            250            994
./backend/.venv/lib/python3.11/site-packages/passlib/utils/handlers.py                                                                                  449           1270            992
./backend/.venv/lib/python3.11/site-packages/greenlet/tests/test_greenlet.py                                                                            216            221            989
./backend/.venv/lib/python3.11/site-packages/aiomysql/connection.py                                                                                     218            216            984
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_tsql_builtins.py                                                                           10             11            982
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/util.py                                                                                     263            242            980
./backend/.venv/lib/python3.11/site-packages/pip/_internal/cli/cmdoptions.py                                                                            186            106            975
./backend/.venv/lib/python3.11/site-packages/alembic/autogenerate/render.py                                                                             188             18            966
./.venv/lib/python3.11/site-packages/pydantic/mypy.py                                                                                                   198            249            965
./backend/.venv/lib/python3.11/site-packages/sqlglot/tokens.py                                                                                          142            421            963
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/dml.py                                                                                      342            551            960
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/python.py                                                                                   72            177            955
./backend/.venv/lib/python3.11/site-packages/cffi/backend_ctypes.py                                                                                     139             29            953
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/pygments/lexers/python.py                                                                       72            176            953
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/testing/requirements.py                                                                         467            525            953
./backend/.venv/lib/python3.11/site-packages/yaml/emitter.py                                                                                            116             68            953
./backend/.venv/lib/python3.11/site-packages/pydantic/v1/fields.py                                                                                      141            160            952
./backend/.venv/lib/python3.11/site-packages/passlib/tests/test_handlers.py                                                                             316            553            950
./backend/.venv/lib/python3.11/site-packages/sqlglot/dialects/duckdb.py                                                                                 198             66            948
